Ca,Co,IS,K,Keq,Li,Mg,Mn,Na,T,Zn,deltaH,pH,rxn_formula,rxn_id,reference_id
,,0.3,,,,,,,298.15,,-26.3,4.85,CHB_15377 + PBC_259591 = CHB_16134 + CHB_73912,deltaH_131,53STU
,,0.3,,,,,,,298.15,,-24.6,4.69,CHB_15377 + PBC_259591 = CHB_16134 + CHB_73912,deltaH_130,53STU
,,0.3,,,,,,,298.15,,-27.4,5.11,CHB_15377 + PBC_259591 = CHB_16134 + CHB_73912,deltaH_133,53STU
,,0.3,,,,,,,298.15,,-26.4,5.09,CHB_15377 + PBC_259591 = CHB_16134 + CHB_73912,deltaH_132,53STU
,,0.1,,,,0.000375,,,298.15,,-31.00344,7.35,CHB_15377 + CHB_18361 = 2 CHB_26078,deltaH_135,54GIN/STU
,,0.3,,,,,,,298.15,,-25.6,5.65,CHB_15377 + PBC_259591 = CHB_16134 + CHB_73912,deltaH_134,53STU
,,0.1,,,,0.00025,,,298.15,,-30.334,7.49,CHB_15377 + CHB_18361 = 2 CHB_26078,deltaH_137,54GIN/STU
,,0.1,,,,0.000375,,,298.15,,-29.53904,7.35,CHB_15377 + CHB_18361 = 2 CHB_26078,deltaH_136,54GIN/STU
,,0.1,,,,0.000375,,,298.15,,-31.5892,7.64,CHB_15377 + CHB_18361 = 2 CHB_26078,deltaH_139,54GIN/STU
,,0.1,,,,0.00025,,,298.15,,-30.58504,7.51,CHB_15377 + CHB_18361 = 2 CHB_26078,deltaH_138,54GIN/STU
,,0.032589944,,,,,,0.03257179,298.15,,-26.81,4.44,6 CHB_15377 + CHB_61954 = 7 CHB_4167,deltaH_645,91GOL/BEL
,,0.032589944,,,,,,0.03257179,298.15,,11.4,4.44,2 CHB_15377 + CHB_71421 = 3 CHB_4167,deltaH_649,91GOL/BEL
,,0.032589944,,,,,,0.03257179,298.15,,1.46,4.44,2 CHB_15377 + PBC_5288421 = 3 CHB_4167,deltaH_648,91GOL/BEL
,,0.2,,0.00775,,,,,291.1,,,9.05,CHB_18009 + CHB_30633 = CHB_16474 + CHB_30912,Keq_3913,91SRI/NAM
,,0.2,,0.00719,,,,,285.3,,,9.05,CHB_18009 + CHB_30633 = CHB_16474 + CHB_30912,Keq_3912,91SRI/NAM
,,0.2,,0.00585,,,,,297.6,,,9.05,CHB_18009 + CHB_30633 = CHB_16474 + CHB_30912,Keq_3911,91SRI/NAM
,,0.032589944,,,,,,0.03257179,311.15,,-22.16,4.44,5 CHB_15377 + CHB_27445 = 6 CHB_4167,deltaH_644,91GOL/BEL
,,0.063254678,,215,,0.0075,,,303.15,,,8,CHB_15377 + CHB_18361 = 2 CHB_26078,Keq_3527,86DAL/REN
,,0.25,,8.7,,0.00074,,,311.15,,,7.03,CHB_15346 + CHB_15422 + CHB_30089 = CHB_15351 + CHB_16027 + CHB_18361,Keq_2350,74GUY/WEB
,,0.063187664,,16,,,,,310.15,,,8.3,CHB_29989 = CHB_15377 + CHB_16924,Keq_1359,63MEI/BUK
,,0.027178476,,0.00056,,,,,298.15,,,8.5,CHB_15635 + CHB_18009 = CHB_15633 + CHB_16474,Keq_1358,63MAT/HUE
,,0.078869384,,6.10E-05,,,,,298.15,,,7.5,CHB_15635 + CHB_18009 = CHB_15633 + CHB_16474,Keq_1357,63MAT/HUE
,,0.032589944,,,,,,0.03257179,304.65,,-22.63,4.44,5 CHB_15377 + CHB_27445 = 6 CHB_4167,deltaH_643,91GOL/BEL
,,0.072230413,0.041679323,0.000328644,,,,,310.15,,,7.5,CHB_17742 = CHB_15361 + CHB_16891,Keq_1352,63KUR/FUK
,,2,,12.493,,,,,298.15,,,6.67,CHB_15377 + MAN_10088 = CHB_15429 + CHB_21563,Keq_1351,63JEN/CAP
,,0.032589944,,,,,,0.03257179,298.15,,-22.4,4.44,5 CHB_15377 + CHB_27445 = 6 CHB_4167,deltaH_642,91GOL/BEL
,,0.25,0.249925,211,,,2.50E-05,,311.15,,,6.95,CHB_15377 + CHB_40595 = CHB_26078 + CHB_61553,Keq_2886,79LAW/VEE
,,0.25,0.249925,222,,,2.50E-05,,311.15,,,6.95,CHB_15377 + CHB_40595 = CHB_26078 + CHB_61553,Keq_2887,79LAW/VEE
,,0.25,0.249925,244,,,2.50E-05,,311.15,,,6.95,CHB_15377 + CHB_40595 = CHB_26078 + CHB_61553,Keq_2884,79LAW/VEE
,,0.25,0.249925,231,,,2.50E-05,,311.15,,,6.95,CHB_15377 + CHB_40595 = CHB_26078 + CHB_61553,Keq_2885,79LAW/VEE
