compound id,compound name,database annotation,link
CHB_10319,1-naphthol,CHB: ChEBI,https://www.ebi.ac.uk/chebi/
CHB_10589,3-methylbenzoic acid,CHS: ChemSpider,http://www.chemspider.com/
CHB_10983,(R)-3-hydroxybutanoate,PBC: PubChem,https://pubchem.ncbi.nlm.nih.gov/
CHB_11060,D-carnitine,MAN: Manually annotated,
CHB_11449,"2,5-diketo-D-gluconate",,
CHB_1148,2-hydroxybutanoate,,
CHB_11563,2-deoxy--D-ribose 1-phosphate,,
CHB_11805,3-hydroxy-2-methylpropanoate,,
CHB_11851,2-oxoisovalerate,,
CHB_124991,cephalothin,,
CHB_13705,acetoacetate,,
CHB_13941,carbamate,,
CHB_14737,pantoic acid,,
CHB_15343,acetaldehyde,,
CHB_15345,acetoacetyl-CoA,,
CHB_15346,CoA,,
CHB_15347,acetone,,
CHB_15350,acetyl phosphate,,
CHB_15351,acetyl-CoA,,
CHB_15354,choline,,
CHB_15355,acetylcholine,,
CHB_15361,pyruvate,,
CHB_15375,"7,8-dihydrobiopterin",,
CHB_15377,H2O,,
CHB_15379,O2,,
CHB_15380,succinyl-CoA,,
CHB_15396,(+)-camphor,,
CHB_15398,(+)-5-exo-hydroxycamphor,,
CHB_15404,"(1R,2S)-1-hydroxybutane-1,2,4-tricarboxylate",,
CHB_15412,(-)-ureidoglycolate,,
CHB_15414,S-adenosyl-L-methionine,,
CHB_15422,ATP,,
CHB_15428,glycine,,
CHB_15429,hydroxylamine,,
CHB_15452,(3R)-3-hydroxybutanoyl-CoA,,
CHB_15453,(3S)-hydroxybutanoyl-coenzyme A,,
CHB_15465,(R)-methylmalonyl-CoA,,
CHB_15466,(S)-methylmalonyl-CoA,,
CHB_15473,trans-but-2-enoyl-CoA,,
CHB_15505,6-hydroxycyclohex-1-ene-carboxyl-CoA,,
CHB_15517,butyryl-CoA,,
CHB_15520,"cyclohexa-1,5-diene-1-carboxyl-CoA",,
CHB_15522,formyl-CoA,,
CHB_15525,palmitoyl-CoA,,
CHB_15531,malonyl-CoA,,
CHB_15535,oxalyl-CoA,,
CHB_15539,propionyl-CoA,,
CHB_15544,prostaglandin E1,,
CHB_15548,15-oxo-prostaglandin E1,,
CHB_15551,prostaglandin E2,,
CHB_15570,D-alanine,,
CHB_15573,(2-aminoethyl)phosphonate,,
CHB_15582,"(2R,3S)-2,3-dimethylmalate",,
CHB_15588,(R)-malate,,
CHB_15589,(S)-malate,,
CHB_15590,"2,3-dimethylmalate",,
CHB_15603,L-leucine,,
CHB_15613,"(3S)-3,6-diaminohexanoate",,
CHB_15633,dihydrofolate,,
CHB_15635,"5,6,7,8-tetrahydrofolate",,
CHB_15637,10-formyltetrahydrofolate,,
CHB_15638,"5,10-methenyltetrahydrofolate",,
CHB_15639,5-formiminotetrahydrofolate,,
CHB_15641,5-methyltetrahydrofolate,,
CHB_15673,meso-tartrate,,
CHB_15676,allantoin,,
CHB_15682,N-(L-argino)succinate,,
CHB_15686,(R)-acetoin,,
CHB_15694,(R)-S-lactoylglutathione,,
CHB_15695,D-(4-hydroxyphenyl)glycine,,
CHB_15698,Deoxycytidine,,
CHB_15699,L-homoserine,,
CHB_15700,dTDPglucose,,
CHB_15713,UTP,,
CHB_15724,trimethylamine N-oxide,,
CHB_15725,"1,3-diaminopropane",,
CHB_15729,L-ornithine,,
CHB_15740,formate,,
CHB_15743,butanal,,
CHB_15751,ADPglucose,,
CHB_15753,2-oxoadipate,,
CHB_15756,palmitic acid,,
CHB_15763,Nicotinate D-ribonucleotide,,
CHB_15767,Dichloromethane,,
CHB_15774,dTDP-L-rhamnose,,
CHB_15784,N-acetyl-D-glucosamine 6-phosphate,,
CHB_15793,3-hydroxyanthranilic acid,,
CHB_15805,N-2-(D-1-carboxyethyl)-L-arginine,,
CHB_15811,O-phospho-L-serine,,
CHB_15820,GDPmannose,,
CHB_15823,Reduced coenzyme F420,,
CHB_15836,L-4-aspartyl phosphate,,
CHB_15842,orotidine 5 '-phosphate,,
CHB_15843,arachidonic acid,,
CHB_15846,NAD,,
CHB_15859,N-carbamoyl-L-aspartate,,
CHB_15862,ethanamine (Ethylamine),,
CHB_15882,phenol,,
CHB_15891,NH2CH2CH2SO3H,,
CHB_15895,"D-galactono-1,4-lactone",,
CHB_15899,(R)-5-diphosphomevalonate,,
CHB_15901,"5,6-dihydrouracil",,
CHB_15914,2-amino-4-oxopentanoate,,
CHB_15918,dCMP,,
CHB_15919,adenylosuccinate,,
CHB_15925,6-phospho-2-dehydro-3-deoxy-D-gluconate,,
CHB_15927,nicotinamide riboside,,
CHB_15940,nicotinic acid,,
CHB_15963,ribitol,,
CHB_15968,guanadinopropionate,,
CHB_15971,L-histidine,,
CHB_15978,sn-glycerol 3-phosphate,,
CHB_15980,(R)-pantoate,,
CHB_15996,GTP,,
CHB_16000,ethanolamine,,
CHB_16001,3-phospho-D-glyceroyl phosphate,,
CHB_16004,(R)-lactate,,
CHB_16007,Methanethiol,,
CHB_16016,dihydroxyacetone,,
CHB_16023,D-erythrulose,,
CHB_16026,"L,L-2,6-diaminoheptanedioate",,
CHB_16027,AMP,,
CHB_16034,phosphoguanidinoacetate,,
CHB_16039,ITP,,
CHB_16040,Cytosine,,
CHB_16048,FMN(reduced),,
CHB_16052,1-propene,,
CHB_16057,dimethylallyl diphosphate,,
CHB_16066,11-cis-retinal,,
CHB_16069,imidazole,,
CHB_16077,glucose 1-phosphate,,
CHB_16082,UDP-D-xylose,,
CHB_16085,UDP-D-galacturonate,,
CHB_16087,isocitrate,,
CHB_16093,methylitaconate,,
CHB_16095,sepiapterin,,
CHB_16101,ethylbenzene,,
CHB_16108,glycerone phosphate,,
CHB_16109,"1,3-propanediol",,
CHB_16113,cholesterol,,
CHB_16119,shikimate,,
CHB_16122,"(3,5-diiodo-4-hydroxyphenyl)lactate",,
CHB_16128,dTDP-4-dehydro-6-deoxyD-glucose,,
CHB_16134,ammonia,,
CHB_16136,hydrogen sulfide,,
CHB_16138,2-deoxy-D-gluconate,,
CHB_16171,nicotinamide mononucleotide,,
CHB_16174,dADP,,
CHB_16175,cholest-4-en-3-one,,
CHB_16176,D-ornithine,,
CHB_16183,methane,,
CHB_16188,1-octanol,,
CHB_16189,sulfate,,
CHB_16192,dGMP,,
CHB_16196,oleic acid,,
CHB_16199,urea,,
CHB_16207,3-hydroxybenzaldehyde,,
CHB_16215,phosphonate,,
