species_id,smiles_form,pKMg,dS_f(J/K/mol),-CO-OPO3 [H0 Z-2 Mg0],-CO-OPO3 [H1 Z-1 Mg0],-COO [H0 Z-1 Mg0],-OPO2- [H0 Z-1 Mg0],-OPO2-OPO2- [H0 Z-2 Mg0],-OPO2-OPO2- [H1 Z-1 Mg0],-OPO3 [H0 Z-2 Mg0],-OPO3 [H1 Z-1 Mg0],-OPO3-OPO2- [H0 Z-2 Mg0],C-PO3 [H0 Z-2 Mg0],N-PO3 [H0 Z-2 Mg0],phosphonate group -2 charge [H0 Z-2 Mg0],charge_unaccounted_for_by_binding_groups,C_partial_charge,C_atom_num,H_partial_charge,H_atom_num,O_partial_charge,O_atom_num,O_double_partial_charge,O_double_atom_num,N_partial_charge,N_atom_num,S_partial_charge,S_atom_num,P_partial_charge,P_atom_num,F_partial_charge,F_atom_num,Cl_partial_charge,Cl_atom_num,total_steric_hindrance,atomcount,exactmass,averagemolecularpolarizability,axxpol,ayypol,azzpol,formalcharge,molecularpolarizability,aliphaticatomcount,aliphaticbondcount,aliphaticringcount,aromaticatomcount,aromaticbondcount,aromaticringcount,asymmetricatomcount,balabanindex,bondcount,carboaromaticringcount,carboringcount,chainatomcount,chainbondcount,chiralcentercount,cyclomaticnumber,dreidingenergy,fusedaromaticringcount,fusedringcount,hararyindex,heteroaliphaticringcount,heteroaromaticringcount,heteroringcount,hyperwienerindex,largestringsize,largestringsystemsize,maximalprojectionarea,maximalprojectionradius,maximalprojectionsize,minimalprojectionarea,minimalprojectionradius,minimalprojectionsize,mmff94energy,molecularsurfacearea,plattindex,psa,randicindex,ringatomcount,ringbondcount,ringcount,ringsystemcount,rotatablebondcount,smallestringsize,smallestringsystemsize,stereodoublebondcount,szegedindex,volume,wienerindex,wienerpolarity,tautomercount,logp,acceptorcount,acceptorsitecount,donorcount,donorsitecount,refractivity,resonantcount,asa,asa+,asa-,asa_H,asa_P,dipole,averagemicrospeciescharge,double_bond_count,triple_bond_count,BalabanJ,BertzCT,FractionCSP3,HallKierAlpha,HeavyAtomCount,HeavyAtomMolWt,Kappa1,Kappa2,Kappa3,LabuteASA,MaxAbsEStateIndex,MaxAbsPartialCharge,MaxEStateIndex,MaxPartialCharge,MinAbsEStateIndex,MinAbsPartialCharge,MinEStateIndex,MinPartialCharge,MolLogP,MolMR,NHOHCount,NOCount,NumHeteroatoms,NumRotatableBonds,NumValenceElectrons,TPSA
CHB_10983_-1,C[C@@H](O)CC([O-])=O,1.107994669,,0,0,1,0,0,0,0,0,0,0,0,0,0,0.171,4,0.402,7,0.875,2,0.481,1,0,0,0,0,0,0,0,0,0,0,12.6,14,103,9.54,8.08,9.1,11.4,-1,9.23,7,6,0,0,0,0,1,2.95,13,0,0,7,6,1,0,5.86,0,0,11.8,0,0,0,91,0,0,34.2,4.05,5.27,21.5,2.99,8.01,6.01,166,14,60.4,3.13,0,0,0,0,2,0,0,0,48,96.1,48,4,1,-0.39,3,7,1,1,34.3,2,267,152,115,161,106,8.79,-1,1,0,3.13,67.3,0.75,-0.57,7,96,6.43,2.58,5.43,41.6,9.54,0.55,9.54,0.0564,0.278,0.0564,-1.21,-0.55,-1.49,21.3,1,3,3,2,42,60.4
CHB_15350_-1,CC(=O)OP(O)([O-])=O,2.317716003,,0,1,0,0,0,0,0,0,0,0,0,0,0,0.185,2,0.282,4,0.799,3,0.57,2,0,0,0,0,0.098,1,0,0,0,0,12.1,12,139,9.55,9.19,8.03,11.4,-1,9.73,8,7,0,0,0,0,0,3.39,11,0,0,8,7,0,0,43.5,0,0,15.2,0,0,0,127,0,0,34.2,4.18,5.75,20.9,2.99,8.22,-145,170,20,86.7,3.42,0,0,0,0,2,0,0,0,66,98.4,66,5,1,-0.88,4,9,1,1,22.7,11,312,127,185,117,195,5.49,-1.96,2,0,3.74,133,0.5,-0.38,8,135,7.62,2.26,5.62,45.5,9.7,0.746,9.7,0.319,0.876,0.319,-4.82,-0.746,-0.99,21.6,1,5,6,2,48,86.7
CHB_15350_-2,CC(=O)OP([O-])([O-])=O,2.374228524,,1,0,0,0,0,0,0,0,0,0,0,0,0,0.168,2,0.101,3,1.23,3,0.776,2,0,0,0,0,0.265,1,0,0,0,0,10.9,11,138,9.28,7.76,8.84,11.2,-2,9.61,8,7,0,0,0,0,0,3.39,10,0,0,8,7,0,0,43.4,0,0,15.2,0,0,0,127,0,0,34.3,4.16,5.38,21.6,3,8.09,-24.6,167,20,89.5,3.42,0,0,0,0,2,0,0,0,66,96,66,5,1,-0.88,4,10,0,0,21.6,8,324,107,218,103,222,10.1,-1.96,2,0,3.74,133,0.5,-0.38,8,135,7.62,2.26,5.62,45.5,9.66,0.78,9.66,0.305,0.836,0.305,-5.07,-0.78,-1.62,19.4,0,5,6,2,48,89.5
CHB_15361_-1,CC(=O)C([O-])=O,2.458,-415.730337,0,0,1,0,0,0,0,0,0,0,0,0,0,0.115,3,0.092,3,0.444,1,0.75,2,0,0,0,0,0,0,0,0,0,0,7.72,9,87,6.92,8.31,7.41,5.04,-1,6.91,6,5,0,0,0,0,0,2.99,8,0,0,6,5,0,0,4.55,0,0,9.33,0,0,0,47,0,0,29.1,3.6,4.1,18.3,3.01,6.57,92.8,122,12,57.2,2.64,0,0,0,0,1,0,0,0,29,72.7,29,4,1,0.07,3,7,0,0,28.8,4,241,74.5,167,101,140,5.06,-1,2,0,3.57,72,0.333,-0.86,6,84,5.14,1.55,1.46,34.6,9.48,0.542,9.48,0.175,0.935,0.175,-1.63,-0.542,-1.67,15.7,0,3,3,1,34,57.2
CHB_15422_-1,Nc1ncnc2n(cnc12)[C@@H]1O[C@H](COP(O)(=O)OP([O-])(=O)OP(O)(O)=O)[C@@H](O)[C@H]1O,3.258459495,-2579.76122,0,0,0,0,0,1,0,0,0,0,0,0,0,0.91,10,1.97,15,2.3,10,0.735,3,0.847,5,0,0,0.127,3,0,0,0,0,60.7,46,506,38.5,49.8,36.4,29.4,-1,38.5,22,23,1,9,10,2,5,1.52,48,0,0,17,18,5,3,190,2,2,124,1,2,3,13600,6,2,105,8.48,8.54,56,5.16,16,-292,555,104,282,14.2,14,15,3,2,8,5,1,0,3550,348,2890,48,1,-3.99,14,25,6,7,94.7,185,547,262,285,214,332,24.8,-3.66,3,0,1.69,1100,0.5,-1.36,31,491,24.3,8.53,5.71,171,11.7,0.756,11.7,0.478,0.0367,0.478,-5.95,-0.756,-2.26,93.3,7,18,21,8,174,282
CHB_15422_-2,Nc1ncnc2n(cnc12)[C@@H]1O[C@H](COP(O)(=O)OP([O-])(=O)OP(O)([O-])=O)[C@@H](O)[C@H]1O,3.54447617,-2638.67194,0,0,0,0,0,1,0,1,0,0,0,0,0,0.91,10,1.7,14,2.72,10,0.869,3,0.847,5,0,0,0.224,3,0,0,0,0,59.1,45,505,38.2,39.1,47.3,28.1,-2,38.4,22,23,1,9,10,2,5,1.52,47,0,0,17,18,5,3,181,2,2,124,1,2,3,13600,6,2,109,8.61,7.39,55.9,5.67,17.2,-214,553,104,285,14.2,14,15,3,2,8,5,1,0,3550,346,2890,48,1,-3.99,14,26,5,6,93.6,172,569,247,321,203,366,44.8,-3.66,3,0,1.69,1100,0.5,-1.36,31,491,24.3,8.53,5.71,171,11.7,0.756,11.7,0.478,0.0322,0.478,-6.01,-0.756,-2.89,91,6,18,21,8,174,285
CHB_15422_-3,Nc1ncnc2n(cnc12)[C@@H]1O[C@H](COP([O-])(=O)OP([O-])(=O)OP(O)([O-])=O)[C@@H](O)[C@H]1O,3.683416138,-2670.97242,0,0,0,0,1,0,0,1,0,0,0,0,0,0.897,10,1.47,13,3.11,10,1.05,3,0.847,5,0,0,0.337,3,0,0,0,0,57.2,44,504,37.6,37.4,47,28.5,-3,38.3,22,23,1,9,10,2,4,1.52,46,0,0,17,18,4,3,179,2,2,124,1,2,3,13600,6,2,104,8.08,8.09,54.9,5.12,16,-19.3,552,104,288,14.2,14,15,3,2,8,5,1,0,3550,344,2890,48,1,-3.99,14,27,4,5,92.5,161,602,249,353,187,415,47.3,-3.66,3,0,1.69,1100,0.5,-1.36,31,491,24.3,8.53,5.71,171,11.6,0.756,11.6,0.28,0.024,0.28,-6.08,-0.756,-3.52,88.8,5,18,21,8,174,288
CHB_15422_-4,Nc1ncnc2n(cnc12)[C@@H]1O[C@H](COP([O-])(=O)OP([O-])(=O)OP([O-])([O-])=O)[C@@H](O)[C@H]1O,5.975992002,-2837.95586,0,0,0,0,1,0,1,0,0,0,0,0,0,0.897,10,1.28,12,3.54,10,1.25,3,0.847,5,0,0,0.522,3,0,0,0,0,56.5,43,503,37.3,37.1,46.8,28,-4,38.2,22,23,1,9,10,2,4,1.52,45,0,0,17,18,4,3,180,2,2,124,1,2,3,13600,6,2,104,7.56,8.78,58.6,5.21,14.8,217,549,104,290,14.2,14,15,3,2,8,5,1,0,3550,341,2890,48,1,-3.99,14,28,3,4,91.3,152,589,223,366,168,421,51.7,-3.66,3,0,1.69,1100,0.5,-1.36,31,491,24.3,8.53,5.71,171,11.6,0.79,11.6,0.278,0.0195,0.278,-6.14,-0.79,-4.16,86.6,4,18,21,8,174,290
CHB_15428_-1,NCC([O-])=O,2.807716003,-519.7265,0,0,1,0,0,0,0,0,0,0,0,0,0,0.096,2,0.318,4,0.477,1,0.477,1,0.331,1,0,0,0,0,0,0,0,0,7.68,9,74,6.25,5.47,5.9,7.39,-1,6.43,5,4,0,0,0,0,0,2.54,8,0,0,5,4,0,0,1.22,0,0,6.67,0,0,0,28,0,0,24.9,3.45,5.31,17.9,2.64,6.55,88.9,111,8,66.2,2.27,0,0,0,0,1,0,0,0,18,65.5,18,2,1,-3.41,3,6,1,2,26.8,2,222,121,101,121,101,5.98,-0.01,1,0,2.85,42.9,0.5,-0.57,5,70,4.43,1.72,3.43,29.4,9.13,0.549,9.13,0.055,0.389,0.055,-1.22,-0.549,-2.3,14.1,2,3,3,1,30,66.2
CHB_15428_0,[NH3+]CC([O-])=O,0.894680583,-480.8165,0,0,1,0,0,0,0,0,0,0,0,0,-1,0.072,2,0.949,5,0.461,1,0.461,1,0.01,1,0,0,0,0,0,0,0,0,8.85,10,75,6.59,6.58,5.61,7.57,0,6.4,5,4,0,0,0,0,0,2.54,9,0,0,5,4,0,0,2.01,0,0,6.67,0,0,0,28,0,0,26.3,3.5,5.33,19.1,2.75,6.64,8.22,116,8,67.8,2.27,0,0,0,0,1,0,0,0,18,67.9,18,2,1,-3.41,2,5,1,3,38.1,2,216,126,90,83.2,133,13.9,-0.01,1,0,2.85,42.9,0.5,-0.57,5,70,4.43,1.72,3.43,29.4,9.19,0.544,9.19,0.114,0.139,0.114,-1.11,-0.544,-3.02,12.8,3,3,3,1,30,67.8
