rxn_formula,dS_r_from_slope
CHB_18009 + CHB_30633 = CHB_16474 + CHB_30912,-478.852986
CHB_15377 + CHB_28971 = PBC_6453491,-443.2591942
CHB_15846 + CHB_15978 = CHB_16108 + CHB_16908,-347.334979
CHB_15422 + CHB_4167 = CHB_16761 + CHB_4170,-320.9936997
CHB_37515 = CHB_16108 + CHB_17378,-303.7324835
CHB_15377 + CHB_18208 = CHB_61222,-302.9303008
CHB_15377 + MAN_10110 = CHB_16236 + CHB_16259,-260.881672
CHB_15846 + CHB_16659 = CHB_16908 + CHB_30841,-257.733664
CHB_15361 + CHB_15422 = CHB_16761 + CHB_18021,-208.204792
CHB_15422 + CHB_61553 = CHB_16761 + CHB_40595,-191.05666
CHB_15377 + CHB_28637 = CHB_28895,-178.9792712
CHB_15846 + CHB_15963 = CHB_16908 + CHB_28552,-167.193332
2 CHB_16856 + CHB_18009 = CHB_16474 + CHB_17858,-166.269732
CHB_15846 + CHB_18047 = CHB_16908 + CHB_30313,-151.217121
CHB_15846 + CHB_18202 = CHB_16908 + CHB_48649,-143.1573679
CHB_15377 + CHS_85042 = MAN_10168,-141.5354256
CHB_15377 + PBC_1002 = MAN_10131,-137.7780332
CHB_15377 + CHB_27652 = CHB_53013,-131.0903603
CHB_15377 + CHB_18009 + CHB_29985 = CHB_16134 + CHB_16474 + CHB_16810,-129.068035
CHB_15377 + CHB_15428 + CHB_1989 = CHB_15635 + CHB_17115,-127.70413
CHB_15422 + CHB_16467 = CHB_16761 + CHB_18412,-125.80444
CHB_15846 + CHB_17924 = CHB_16908 + CHB_37721,-124.462146
CHB_15377 + CHB_27612 = PBC_10020,-118.0938664
CHB_15377 + CHB_15901 = CHB_18261,-112.1162906
CHB_15846 + CHB_16236 = CHB_15343 + CHB_16908,-93.91311855
CHB_15377 + PBC_78357834 = CHB_17306 + CHB_495055,-93.672163
CHB_15846 + CHB_17151 = CHB_16908 + CHS_388344,-93.53890016
CHB_16842 + CHB_41218 = MAN_10114,-81.25050919
CHB_15846 + CHB_16004 = CHB_15361 + CHB_16908,-79.48213024
CHB_17835 = CHB_17794,-79.07256343
CHB_15377 + MAN_10093 = CHB_16918 + CHB_28831,-78.958185
CHB_17824 + CHB_18009 = CHB_15347 + CHB_16474,-73.645251
CHB_16881 + CHB_29052 = CHB_18299,-64.16001633
CHB_15355 + CHB_15377 = CHB_15354 + CHB_30089,-57.13566187
CHB_15846 + CHB_16651 = CHB_15361 + CHB_16908,-56.50101481
CHB_15377 + CHB_15846 + CHB_29985 = CHB_16134 + CHB_16810 + CHB_16908,-50.968592
CHB_15377 + CHB_29806 = CHB_15589,-37.34546086
CHB_15377 + CHB_18050 = CHB_16134 + CHB_29985,-31.11048047
CHB_15846 + CHB_28885 = CHB_15743 + CHB_16908,-25.75946264
CHB_15377 + CHB_18208 = CHB_16705 + CHB_30745,-25.040832
CHB_15846 + CHB_17824 = CHB_15347 + CHB_16908,-18.96117
2 CHB_16761 = CHB_15422 + CHB_16027,-17.23959279
CHB_16134 + CHB_29748 = CHB_15377 + CHB_49197,-14.890459
CHB_15377 + MAN_10067 = CHB_16134 + MAN_10068,-10.65044837
CHB_15377 + CHB_40992 = CHB_16977 + CHB_30089,-1.933425423
CHB_15377 + PBC_66789 = CHB_16414 + CHB_30089,-0.98310089
CHB_15377 + CHB_21557 = CHB_16643 + CHB_30089,3.781695863
CHB_4208 = CHB_37721,6.063462
CHB_4170 = CHB_61553,8.639652
CHB_15377 + PBC_306142 = CHB_18347 + CHB_30089,9.295861168
CHB_4167 = CHB_37721,16.06922546
CHB_15971 = CHB_16134 + CHB_27247,16.78960173
CHB_15422 + CHS_61787 = CHB_18361 + MAN_10052,23.733439
CHB_29991 = CHB_16134 + CHB_29806,24.77310261
CHB_45506 = CHB_28552,26.295689
CHB_46994 = CHB_45506,26.725962
CHB_15377 + CHB_36219 = CHB_4139 + CHB_4167,28.738517
MAN_10212 = CHB_16023,29.320163
CHB_15377 + CHB_17306 = 2 CHB_4167,32.07608788
CHB_15603 + CHB_16810 = CHB_29985 + CHB_48430,32.08149371
CHB_4093 = CHS_9553766,32.335912
CHB_15377 + CHB_16551 = 2 CHB_4167,33.112365
CHB_15377 + CHB_28066 = 2 CHB_4167,33.601801
CHB_16810 + CHB_17895 = CHB_29985 + CHB_36242,34.79435719
CHB_16810 + CHB_17295 = CHB_29985 + CHB_30851,36.20063504
CHB_16810 + PBC_164608 = CHB_29985 + CHS_15334833,36.30805655
CHB_15377 + CHB_28053 = CHB_4139 + CHB_4167,37.05918636
CHB_29052 = CHB_16108,41.866547
CHB_15377 + CHB_28189 = 2 CHB_4167,44.081298
CHB_15377 + CHB_6359 = CHB_37721 + CHB_4139,47.75436629
CHB_53455 = CHS_388344,47.88975712
CHB_15377 + PBC_11823089 = CHB_4139 + CHB_46994,47.95049809
CHB_46994 = CHB_28552,49.54561473
CHB_52742 = CHB_17363,59.17653088
CHB_16977 + CHB_30841 = CHB_15361 + CHB_17115,59.618425
CHB_15589 + CHB_15846 = CHB_16452 + CHB_16908,62.34886597
PBC_102871 = CHB_15377 + MAN_10003,74.477465
CHB_16810 + CHB_16977 = CHB_15361 + CHB_29985,75.68838658
CHB_18066 = CHB_18307,86.33749467
CHB_17295 = CHB_16134 + CHB_35697,98.767274
CHB_15377 + CHB_27247 = CHB_27384,102.213167
CHB_15377 + CHB_16454 = CHB_14737 + CHB_16958,102.640458
CHB_15377 + CHB_15978 = CHB_17754 + CHB_26078,120.349154
CHB_43896 = CHB_61553,125.618651
CHB_15377 + CHB_16828 = CHB_15361 + CHB_16134 + CHB_16881,127.058311
CHB_40595 = 2 CHB_16108,133.729584
CHB_35418 = CHB_15361 + CHB_63153,139.140287
CHB_40595 = CHB_16108 + CHB_29052,141.9119594
CHB_15377 + CHB_61553 = CHB_26078 + CHB_37721,155.2656787
CHB_15377 + CHB_18361 = 2 CHB_26078,166.4865366
CHB_15377 + CHB_16335 = CHB_16134 + CHB_17596,172.9912455
CHB_15377 + CHB_16027 = CHB_16335 + CHB_26078,175.7318687
CHB_15377 + CHB_4170 = CHB_26078 + CHB_4167,177.3222004
