rxn_formula,example reaction id,using dS_f data,extend of using dS_f data,dS_r_from_slope,dS_r_from_dG_r_and_dH_r,median_dG_r,rxn_formula_name,enzyme name,EC number
CHB_35418 = CHB_15361 + CHB_63153,Keq_4008,137.2041428,0.333333333,137.5670973,,8351.794855,N-acetylneuraminate(aq) = N-acetyl-D-mannosamine(aq) + pyruvate(aq),N-acetylneuraminate lyase,4.1.3.3
CHB_15377 + CHB_16828 = CHB_15361 + CHB_16134 + CHB_16881,Keq_4104,136.4171872,1,130.9028032,138.1336284,21644.50566,L-tryptophan(aq) + H2O(l) = indole(aq) + pyruvate(aq) + ammonia(aq),tryptophanase,4.1.99.1
CHB_43896 = CHB_61553,Keq_433,31.762536,1,126.7639536,,131.7265395,D-mannose 6-phosphate(aq) = D-fructose 6-phosphate(aq),mannose-6-phosphate isomerase,5.3.1.8
CHB_40595 = 2 CHB_16108,Keq_331,204.4771061,0.5,151.0449694,34.89693628,54909.57027,"D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",triose-phosphate isomerase and fructose-bisphosphate aldolase,5.3.1.1
CHB_15377 + CHB_16454 = CHB_14737 + CHB_16958,Keq_3688,-82.10412566,0.25,102.6401109,,6308.783992,pantothenate(aq) + H2O(l) = pantoic acid(aq) + beta-alanine(aq),pantothenase,3.5.1.22
CHB_15377 + CHB_27247 = CHB_27384,Keq_2518,-82.9401235,0.333333333,102.463977,,-10584.60878,"urocanate(aq) + H2O(l) = 4,5-dihydro-4-oxo-5-imidazolepropanoate(aq)",urocanate hydratase,4.2.1.49
CHB_15377 + CHB_15978 = CHB_17754 + CHB_26078,Keq_353,108.5024316,1,90.94549411,,-47568.64123,L--glycerophosphate(aq) + H2O(l) = glycerol(aq) + orthophosphate(aq),acid phosphatase,3.1.3.2
CHB_17295 = CHB_16134 + CHB_35697,Keq_3638,87.12792336,0.666666667,88.21434119,,-3274.439922,L-phenylalanine(aq) = trans-cinnamate(aq) + ammonia(aq),phenylalanine ammonia-lyase,4.3.1.5
CHB_18066 = CHB_18307,Keq_2943,0.149943506,0,86.33749467,,3123.735358,UDPglucose(aq) = UDPgalactose(aq),UDPglucose 4-epimerase,5.1.3.2
CHB_40595 = CHB_16108 + CHB_29052,Keq_333,181.0829542,0.333333333,81.15806745,,59363.82047,"D-fructose 1,6-bisphosphate(aq) = glycerone phosphate(aq) + D-glyceraldehyde 3-phosphate(aq)",fructose-biphosphate aldolase,4.1.2.13
CHB_16810 + CHB_16977 = CHB_15361 + CHB_29985,Keq_1710,98.687402,1,75.68838658,,-565.9220244,L-alanine(aq) + 2-oxoglutarate(aq) = pyruvate(aq) + L-glutamate(aq),alanine aminotransferase,2.6.1.2
