updated_species_id,updated_compound_id,charge,value,name of file,data type,original order,old_compound_id,old_species_id
CHB_15422_0,CHB_15422,0,1046.16736,1_Cp,Cp,1198,CHB_15422,CHB_15422_0
CHB_15422_-1,CHB_15422,-1,811.77968,2_Cp,Cp,1199,CHB_15422,CHB_15422_-1
CHB_15422_-2,CHB_15422,-2,558.10376,3_Cp,Cp,1200,CHB_15422,CHB_15422_-2
CHB_15422_-3,CHB_15422,-3,388.40072,4_Cp,Cp,1201,CHB_15422,CHB_15422_-3
CHB_15422_-4,CHB_15422,-4,89.28656,5_Cp,Cp,1202,CHB_15422,CHB_15422_-4
CHB_15846_1,CHB_15846,1,882.8,6_Cp,Cp,1203,CHB_15846,CHB_15846_1
CHB_15846_-1,CHB_15846,-1,710,7_Cp,Cp,1204,CHB_15846,CHB_15846_-1
CHB_15846_0,CHB_15846,0,793.7,8_Cp,Cp,1205,CHB_15846,CHB_15846_0
CHB_16908_0,CHB_16908,0,914.2,9_Cp,Cp,1206,CHB_16908,CHB_16908_0
CHB_16908_-1,CHB_16908,-1,824.7,10_Cp,Cp,1207,CHB_16908,CHB_16908_-1
CHB_16908_-2,CHB_16908,-2,741.4,11_Cp,Cp,1208,CHB_16908,CHB_16908_-2
CHB_16474_0,CHB_16474,0,1009,12_Cp,Cp,1209,CHB_16474,CHB_16474_0
CHB_16474_-1,CHB_16474,-1,919,13_Cp,Cp,1210,CHB_16474,CHB_16474_-1
CHB_16474_-2,CHB_16474,-2,836.2,14_Cp,Cp,1211,CHB_16474,CHB_16474_-2
CHB_16474_-3,CHB_16474,-3,708.8,15_Cp,Cp,1212,CHB_16474,CHB_16474_-3
CHB_16474_-4,CHB_16474,-4,495,16_Cp,Cp,1213,CHB_16474,CHB_16474_-4
CHB_18009_1,CHB_18009,1,982.9,17_Cp,Cp,1214,CHB_18009,CHB_18009_1
CHB_18009_-1,CHB_18009,-1,810.6,18_Cp,Cp,1215,CHB_18009,CHB_18009_-1
CHB_18009_-2,CHB_18009,-2,683.2,19_Cp,Cp,1216,CHB_18009,CHB_18009_-2
CHB_18009_-3,CHB_18009,-3,469.4,20_Cp,Cp,1217,CHB_18009,CHB_18009_-3
CHB_18009_0,CHB_18009,0,893.4,21_Cp,Cp,1218,CHB_18009,CHB_18009_0
CHB_16761_-2,CHB_16761,-2,450.15656,22_Cp,Cp,1219,CHB_16761,CHB_16761_-2
CHB_16761_-3,CHB_16761,-3,173.80336,23_Cp,Cp,1220,CHB_16761,CHB_16761_-3
CHB_17659_-2,CHB_17659,-2,343.46456,24_Cp,Cp,1221,CHB_17659,CHB_17659_-2
CHB_17659_-3,CHB_17659,-3,67.27872,25_Cp,Cp,1222,CHB_17659,CHB_17659_-3
CHB_16027_0,CHB_16027,0,502.12184,26_Cp,Cp,1223,CHB_16027,CHB_16027_0
CHB_16027_-1,CHB_16027,-1,478.60776,27_Cp,Cp,1224,CHB_16027,CHB_16027_-1
CHB_16027_-2,CHB_16027,-2,258.06912,28_Cp,Cp,1225,CHB_16027,CHB_16027_-2
CHB_29985_0,CHB_29985,0,182.004,29_Cp,Cp,1226,CHB_29985,CHB_29985_0
CHB_29985_-1,CHB_29985,-1,31.7984,30_Cp,Cp,1227,CHB_29985,CHB_29985_-1
CHB_4167_0,CHB_4167,0,363,31_Cp,Cp,1228,CHB_4167,CHB_4167_0
CHB_30089_0,CHB_30089,0,168,32_Cp,Cp,1229,CHB_30089,CHB_30089_0
CHB_30089_-1,CHB_30089,-1,25.9408,33_Cp,Cp,1230,CHB_30089,CHB_30089_-1
CHB_17552_-2,CHB_17552,-2,468.23144,34_Cp,Cp,1231,CHB_17552,CHB_17552_-2
CHB_17552_-3,CHB_17552,-3,191.92008,35_Cp,Cp,1232,CHB_17552,CHB_17552_-3
CHB_15428_0,CHB_15428,0,40.9,36_Cp,Cp,1233,CHB_15428,CHB_15428_0
CHB_15428_-1,CHB_15428,-1,-27.6144,37_Cp,Cp,1234,CHB_15428,CHB_15428_-1
CHB_15428_1,CHB_15428,1,167.36,38_Cp,Cp,1235,CHB_15428,CHB_15428_1
CHB_16977_0,CHB_16977,0,141,39_Cp,Cp,1236,CHB_16977,CHB_16977_0
CHB_30031_0,CHB_30031,0,223.0072,40_Cp,Cp,1237,CHB_30031,CHB_30031_0
CHB_30031_-1,CHB_30031,-1,38.9112,41_Cp,Cp,1238,CHB_30031,CHB_30031_-1
CHB_30031_-2,CHB_30031,-2,-211.292,42_Cp,Cp,1239,CHB_30031,CHB_30031_-2
CHB_15996_0,CHB_15996,0,1055.03744,43_Cp,Cp,1240,CHB_15996,CHB_15996_0
CHB_15996_-1,CHB_15996,-1,823.49488,44_Cp,Cp,1241,CHB_15996,CHB_15996_-1
CHB_15996_-2,CHB_15996,-2,568.77296,45_Cp,Cp,1242,CHB_15996,CHB_15996_-2
CHB_15996_-3,CHB_15996,-3,399.572,46_Cp,Cp,1243,CHB_15996,CHB_15996_-3
CHB_15996_-4,CHB_15996,-4,106.10624,47_Cp,Cp,1244,CHB_15996,CHB_15996_-4
CHB_18019_0,CHB_18019,0,266.9392,48_Cp,Cp,1245,CHB_18019,CHB_18019_0
CHB_18019_-1,CHB_18019,-1,304.5952,49_Cp,Cp,1246,CHB_18019,CHB_18019_-1
CHB_18019_1,CHB_18019,1,284.0936,50_Cp,Cp,1247,CHB_18019,CHB_18019_1
CHB_29991_0,CHB_29991,0,135.5616,51_Cp,Cp,1248,CHB_29991,CHB_29991_0
CHB_29991_-1,CHB_29991,-1,11.2968,52_Cp,Cp,1249,CHB_29991,CHB_29991_-1
CHB_17361_0,CHB_17361,0,401.91504,53_Cp,Cp,1250,CHB_17361,CHB_17361_0
CHB_17361_-1,CHB_17361,-1,379.0704,54_Cp,Cp,1251,CHB_17361,CHB_17361_-1
CHB_17361_-2,CHB_17361,-2,157.77864,55_Cp,Cp,1252,CHB_17361,CHB_17361_-2
CHB_15740_-1,CHB_15740,-1,-92.048,56_Cp,Cp,1253,CHB_15740,CHB_15740_-1
CHB_16467_0,CHB_16467,0,282.0016,57_Cp,Cp,1254,CHB_16467,CHB_16467_0
CHB_16467_-1,CHB_16467,-1,339.3224,58_Cp,Cp,1255,CHB_16467,CHB_16467_-1
CHB_16467_1,CHB_16467,1,324.6784,59_Cp,Cp,1256,CHB_16467,CHB_16467_1
CHB_17677_0,CHB_17677,0,941.4,60_Cp,Cp,1257,CHB_17677,CHB_17677_0
CHB_17677_-1,CHB_17677,-1,708.51856,61_Cp,Cp,1258,CHB_17677,CHB_17677_-1
CHB_17677_-2,CHB_17677,-2,454.13136,62_Cp,Cp,1259,CHB_17677,CHB_17677_-2
CHB_17677_-3,CHB_17677,-3,283.84256,63_Cp,Cp,1260,CHB_17677,CHB_17677_-3
CHB_17677_-4,CHB_17677,-4,-11.67336,64_Cp,Cp,1261,CHB_17677,CHB_17677_-4
CHB_18050_0,CHB_18050,0,183.2592,65_Cp,Cp,1262,CHB_18050,CHB_18050_0
CHB_17115_0,CHB_17115,0,116.3152,66_Cp,Cp,1263,CHB_17115,CHB_17115_0
CHB_16842_0,CHB_16842,0,65.6888,67_Cp,Cp,1264,CHB_16842,CHB_16842_0
CHB_16643_0,CHB_16643,0,295.8088,68_Cp,Cp,1265,CHB_16643,CHB_16643_0
CHB_15713_0,CHB_15713,0,931.5676,69_Cp,Cp,1266,CHB_15713,CHB_15713_0
CHB_15713_-1,CHB_15713,-1,699.64848,70_Cp,Cp,1267,CHB_15713,CHB_15713_-1
CHB_15713_-2,CHB_15713,-2,446.72568,71_Cp,Cp,1268,CHB_15713,CHB_15713_-2
CHB_15713_-3,CHB_15713,-3,275.43272,72_Cp,Cp,1269,CHB_15713,CHB_15713_-3
CHB_15713_-4,CHB_15713,-4,-18.86984,73_Cp,Cp,1270,CHB_15713,CHB_15713_-4
CHB_16828_0,CHB_16828,0,416.7264,74_Cp,Cp,1271,CHB_16828,CHB_16828_0
CHB_17295_0,CHB_17295,0,392.4592,75_Cp,Cp,1272,CHB_17295,CHB_17295_0
CHB_17895_0,CHB_17895,0,335.5568,76_Cp,Cp,1273,CHB_17895,CHB_17895_0
CHB_17895_-1,CHB_17895,-1,214.2208,77_Cp,Cp,1274,CHB_17895,CHB_17895_-1
CHB_15343_0,CHB_15343,0,146.0216,78_Cp,Cp,1275,CHB_15343,CHB_15343_0
CHB_37721_0,CHB_37721,0,352,79_Cp,Cp,1276,CHB_48095,CHB_48095_0
CHB_17561_0,CHB_17561,0,197.0664,80_Cp,Cp,1277,CHB_17561,CHB_17561_0
CHB_17561_-1,CHB_17561,-1,75.7304,81_Cp,Cp,1278,CHB_17561,CHB_17561_-1
CHB_16695_0,CHB_16695,0,396.2248,82_Cp,Cp,1279,CHB_16695,CHB_16695_0
CHB_16695_-1,CHB_16695,-1,372.5852,83_Cp,Cp,1280,CHB_16695,CHB_16695_-1
CHB_16695_-2,CHB_16695,-2,151.41896,84_Cp,Cp,1281,CHB_16695,CHB_16695_-2
CHB_17568_0,CHB_17568,0,151.41896,85_Cp,Cp,1282,CHB_17568,CHB_17568_0
CHB_17239_-2,CHB_17239,-2,349.74056,86_Cp,Cp,1283,CHB_17239,CHB_17239_-2
CHB_17239_-3,CHB_17239,-3,77.36216,87_Cp,Cp,1284,CHB_17239,CHB_17239_-3
CHB_52742_0,CHB_52742,0,379.1,88_Cp,Cp,1285,CHB_17797,CHB_17797_0
CHB_52742_-1,CHB_52742,-1,251.5,89_Cp,Cp,1286,CHB_17797,CHB_17797_-1
CHB_52742_-2,CHB_52742,-2,31.38,90_Cp,Cp,1287,CHB_17797,CHB_17797_-2
CHB_45506_0,CHB_45506,0,278.06864,91_Cp,Cp,1288,PBC_5311110,PBC_5311110_0
CHB_15603_0,CHB_15603,0,398.3168,92_Cp,Cp,1289,CHB_15603,CHB_15603_0
CHB_4139_0,CHB_4139,0,379,93_Cp,Cp,1290,CHB_4139,CHB_4139_0
CHB_16284_0,CHB_16284,0,1009.76656,94_Cp,Cp,1291,CHB_16284,CHB_16284_0
CHB_16284_-1,CHB_16284,-1,775.25336,95_Cp,Cp,1292,CHB_16284,CHB_16284_-1
CHB_16284_-2,CHB_16284,-2,521.78664,96_Cp,Cp,1293,CHB_16284,CHB_16284_-2
CHB_16284_-3,CHB_16284,-3,352.0836,97_Cp,Cp,1294,CHB_16284,CHB_16284_-3
CHB_16284_-4,CHB_16284,-4,52.7184,98_Cp,Cp,1295,CHB_16284,CHB_16284_-4
CHB_17790_0,CHB_17790,0,158.1552,99_Cp,Cp,1296,CHB_17790,CHB_17790_0
CHB_15971_0,CHB_15971,0,235.1408,100_Cp,Cp,1297,CHB_15971,CHB_15971_0
CHB_15971_1,CHB_15971,1,247.2744,101_Cp,Cp,1298,CHB_15971,CHB_15971_1
CHB_17345_0,CHB_17345,0,518.06288,102_Cp,Cp,1299,CHB_17345,CHB_17345_0
CHB_17345_-1,CHB_17345,-1,495.5948,103_Cp,Cp,1300,CHB_17345,CHB_17345_-1
CHB_17345_-2,CHB_17345,-2,275.34904,104_Cp,Cp,1301,CHB_17345,CHB_17345_-2
CHB_15882_0,CHB_15882,0,310.4528,105_Cp,Cp,1302,CHB_15882,CHB_15882_0
CHB_16708_0,CHB_16708,0,235.30816,106_Cp,Cp,1303,CHB_16708,CHB_16708_0
CHB_17203_0,CHB_17203,0,178.5,107_Cp,Cp,1304,CHB_17203,CHB_17203_0
CHB_17196_0,CHB_17196,0,128.8672,108_Cp,Cp,1305,CHB_17196,CHB_17196_0
CHB_4208_0,CHB_4208,0,340,109_Cp,Cp,1306,CHB_4208,CHB_4208_0
CHB_29805_0,CHB_29805,0,190.372,110_Cp,Cp,1307,CHB_29805,CHB_29805_0
CHB_29805_-1,CHB_29805,-1,27.196,111_Cp,Cp,1308,CHB_29805,CHB_29805_-1
CHB_17272_0,CHB_17272,0,255,112_Cp,Cp,1309,CHB_17272,CHB_17272_0
CHB_17272_-1,CHB_17272,-1,129.2856,113_Cp,Cp,1310,CHB_17272,CHB_17272_-1
CHB_17821_0,CHB_17821,0,238.19512,114_Cp,Cp,1311,CHB_17821,CHB_17821_0
CHB_30746_0,CHB_30746,0,372.376,115_Cp,Cp,1312,CHB_30746,CHB_30746_0
CHB_30746_-1,CHB_30746,-1,215.09944,116_Cp,Cp,1313,CHB_30746,CHB_30746_-1
CHB_53455_0,CHB_53455,0,276,117_Cp,Cp,1314,CHB_15936,CHB_15936_0
CHB_16414_0,CHB_16414,0,309.616,118_Cp,Cp,1315,CHB_16414,CHB_16414_0
CHB_16857_0,CHB_16857,0,209.6184,119_Cp,Cp,1316,CHB_16857,CHB_16857_0
CHB_16174_-2,CHB_16174,-2,413.83944,120_Cp,Cp,1317,CHB_16174,CHB_16174_-2
CHB_16174_-3,CHB_16174,-3,137.69544,121_Cp,Cp,1318,CHB_16174,CHB_16174_-3
CHB_15347_0,CHB_15347,0,241.4168,122_Cp,Cp,1319,CHB_15347,CHB_15347_0
CHB_16995_0,CHB_16995,0,94.9768,123_Cp,Cp,1320,CHB_16995,CHB_16995_0
CHB_16995_-1,CHB_16995,-1,-68.1992,124_Cp,Cp,1321,CHB_16995,CHB_16995_-1
CHB_16995_-2,CHB_16995,-2,-306.6872,125_Cp,Cp,1322,CHB_16995,CHB_16995_-2
CHB_16335_0,CHB_16335,0,503.3352,126_Cp,Cp,1323,CHB_16335,CHB_16335_0
CHB_17748_0,CHB_17748,0,424.2576,127_Cp,Cp,1324,CHB_17748,CHB_17748_0
CHB_46994_0,CHB_46994,0,281,128_Cp,Cp,1325,PBC_66308,PBC_66308_0
CHB_16830_0,CHB_16830,0,154.808,129_Cp,Cp,1326,CHB_16830,CHB_16830_0
CHB_15918_0,CHB_15918,0,362.29256,130_Cp,Cp,1327,CHB_15918,CHB_15918_0
CHB_15918_-1,CHB_15918,-1,361.83232,131_Cp,Cp,1328,CHB_15918,CHB_15918_-1
CHB_15918_-2,CHB_15918,-2,117.69592,132_Cp,Cp,1329,CHB_15918,CHB_15918_-2
CHB_16235_0,CHB_16235,0,251.29104,133_Cp,Cp,1330,CHB_16235,CHB_16235_0
CHB_30772_0,CHB_30772,0,335,134_Cp,Cp,1331,CHB_30772,CHB_30772_0
CHB_30772_-1,CHB_30772,-1,186.188,135_Cp,Cp,1332,CHB_30772,CHB_30772_-1
CHB_16497_0,CHB_16497,0,1020.72864,136_Cp,Cp,1333,CHB_16497,CHB_16497_0
CHB_16497_-1,CHB_16497,-1,789.35344,137_Cp,Cp,1334,CHB_16497,CHB_16497_-1
CHB_16497_-2,CHB_16497,-2,534.46416,138_Cp,Cp,1335,CHB_16497,CHB_16497_-2
CHB_16497_-3,CHB_16497,-3,365.13768,139_Cp,Cp,1336,CHB_16497,CHB_16497_-3
CHB_16497_-4,CHB_16497,-4,67.7808,140_Cp,Cp,1337,CHB_16497,CHB_16497_-4
CHB_16704_0,CHB_16704,0,398.06576,141_Cp,Cp,1338,CHB_16704,CHB_16704_0
CHB_28552_0,CHB_28552,0,319,142_Cp,Cp,1339,CHB_17173,CHB_17173_0
CHS_388344_0,CHS_388344,0,319,143_Cp,Cp,1340,CHB_17140,CHB_17140_0
CHB_17172_0,CHB_17172,0,484.5072,144_Cp,Cp,1341,CHB_17172,CHB_17172_0
CHB_17713_0,CHB_17713,0,465.59552,145_Cp,Cp,1342,CHB_17713,CHB_17713_0
CHB_17713_-1,CHB_17713,-1,442.2488,146_Cp,Cp,1343,CHB_17713,CHB_17713_-1
CHB_17713_-2,CHB_17713,-2,221.83568,147_Cp,Cp,1344,CHB_17713,CHB_17713_-2
CHB_28862_-2,CHB_28862,-2,428.90184,148_Cp,Cp,1345,CHB_28862,CHB_28862_-2
CHB_28862_-3,CHB_28862,-3,152.63232,149_Cp,Cp,1346,CHB_28862,CHB_28862_-3
CHB_16192_0,CHB_16192,0,478.90064,150_Cp,Cp,1347,CHB_16192,CHB_16192_0
CHB_16192_-1,CHB_16192,-1,456.30704,151_Cp,Cp,1348,CHB_16192,CHB_16192_-1
CHB_16192_-2,CHB_16192,-2,236.01944,152_Cp,Cp,1349,CHB_16192,CHB_16192_-2
CHB_18075_-2,CHB_18075,-2,372.33416,153_Cp,Cp,1350,CHB_18075,CHB_18075_-2
CHB_18075_-3,CHB_18075,-3,96.14832,154_Cp,Cp,1351,CHB_18075,CHB_18075_-3
CHB_63528_0,CHB_63528,0,426.01488,155_Cp,Cp,1352,CHB_63528,CHB_63528_0
CHB_63528_-1,CHB_63528,-1,401.664,156_Cp,Cp,1353,CHB_63528,CHB_63528_-1
CHB_63528_-2,CHB_63528,-2,180.1212,157_Cp,Cp,1354,CHB_63528,CHB_63528_-2
CHB_17622_0,CHB_17622,0,359.11272,158_Cp,Cp,1355,CHB_17622,CHB_17622_0
CHB_17622_-1,CHB_17622,-1,354.51032,159_Cp,Cp,1356,CHB_17622,CHB_17622_-1
CHB_17622_-2,CHB_17622,-2,114.47424,160_Cp,Cp,1357,CHB_17622,CHB_17622_-2
CHB_16040_0,CHB_16040,0,174.93304,161_Cp,Cp,1358,CHB_16040,CHB_16040_0
CHB_30794_0,CHB_30794,0,160.6656,162_Cp,Cp,1359,CHB_30794,CHB_30794_0
CHB_30794_-1,CHB_30794,-1,-23.4304,163_Cp,Cp,1360,CHB_30794,CHB_30794_-1
CHB_30794_-2,CHB_30794,-2,-273.6336,164_Cp,Cp,1361,CHB_30794,CHB_30794_-2
CHB_16750_0,CHB_16750,0,522.5816,165_Cp,Cp,1362,CHB_16750,CHB_16750_0
CHB_17191_0,CHB_17191,0,383.2544,166_Cp,Cp,1363,CHB_17191,CHB_17191_0
CHB_16007_0,CHB_16007,0,245.6008,167_Cp,Cp,1364,CHB_16007,CHB_16007_0
CHB_16311_0,CHB_16311,0,903.744,168_Cp,Cp,1365,CHB_16311,CHB_16311_0
CHB_16311_-1,CHB_16311,-1,670.86256,169_Cp,Cp,1366,CHB_16311,CHB_16311_-1
CHB_16311_-2,CHB_16311,-2,416.60088,170_Cp,Cp,1367,CHB_16311,CHB_16311_-2
CHB_16311_-3,CHB_16311,-3,246.10288,171_Cp,Cp,1368,CHB_16311,CHB_16311_-3
CHB_16311_-4,CHB_16311,-4,-50.208,172_Cp,Cp,1369,CHB_16311,CHB_16311_-4
CHB_18077_0,CHB_18077,0,957.84312,173_Cp,Cp,1370,CHB_18077,CHB_18077_0
CHB_18077_-1,CHB_18077,-1,728.97832,174_Cp,Cp,1371,CHB_18077,CHB_18077_-1
CHB_18077_-2,CHB_18077,-2,475.84632,175_Cp,Cp,1372,CHB_18077,CHB_18077_-2
CHB_18077_-3,CHB_18077,-3,305.34832,176_Cp,Cp,1373,CHB_18077,CHB_18077_-3
CHB_18077_-4,CHB_18077,-4,11.04576,177_Cp,Cp,1374,CHB_18077,CHB_18077_-4
CHB_17625_0,CHB_17625,0,894.7484,178_Cp,Cp,1375,CHB_17625,CHB_17625_0
CHB_17625_-1,CHB_17625,-1,663.12216,179_Cp,Cp,1376,CHB_17625,CHB_17625_-1
CHB_17625_-2,CHB_17625,-2,409.86464,180_Cp,Cp,1377,CHB_17625,CHB_17625_-2
CHB_17625_-3,CHB_17625,-3,238.52984,181_Cp,Cp,1378,CHB_17625,CHB_17625_-3
CHB_17625_-4,CHB_17625,-4,-53.88992,182_Cp,Cp,1379,CHB_17625,CHB_17625_-4
CHB_16236_0,CHB_16236,0,263,183_Cp,Cp,1380,CHB_16236,CHB_16236_0
CHB_17562_0,CHB_17562,0,403.25392,184_Cp,Cp,1381,CHB_17562,CHB_17562_0
CHB_28543_0,CHB_28543,0,282,185_Cp,Cp,1382,CHB_16789,CHB_16789_0
CHB_17153_0,CHB_17153,0,234.7224,186_Cp,Cp,1383,CHB_17153,CHB_17153_0
CHB_17859_0,CHB_17859,0,268.1944,187_Cp,Cp,1384,CHB_17859,CHB_17859_0
CHB_17859_-1,CHB_17859,-1,84.0984,188_Cp,Cp,1385,CHB_17859,CHB_17859_-1
CHB_17859_-2,CHB_17859,-2,-166.1048,189_Cp,Cp,1386,CHB_17859,CHB_17859_-2
CHB_16450_0,CHB_16450,0,359.99136,190_Cp,Cp,1387,CHB_16450,CHB_16450_0
CHB_17256_0,CHB_17256,0,465.2608,191_Cp,Cp,1388,CHB_17256,CHB_17256_0
CHB_28846_-2,CHB_28846,-2,313.75816,192_Cp,Cp,1389,CHB_28846,CHB_28846_-2
CHB_28846_-3,CHB_28846,-3,44.72696,193_Cp,Cp,1390,CHB_28846,CHB_28846_-3
CHB_16188_0,CHB_16188,0,815.88,194_Cp,Cp,1391,CHB_16188,CHB_16188_0
CHB_48674_0,CHB_48674,0,352,195_Cp,Cp,1392,CHB_48674,CHB_48674_0
CHB_17418_0,CHB_17418,0,417,196_Cp,Cp,1393,CHB_17418,CHB_17418_0
CHB_17418_-1,CHB_17418,-1,294.1352,197_Cp,Cp,1394,CHB_17418,CHB_17418_-1
CHB_15698_0,CHB_15698,0,365.17952,198_Cp,Cp,1395,CHB_15698,CHB_15698_0
CHB_28850_-2,CHB_28850,-2,306.51984,199_Cp,Cp,1396,CHB_28850,CHB_28850_-2
CHB_28850_-3,CHB_28850,-3,30.334,200_Cp,Cp,1397,CHB_28850,CHB_28850_-3
CHB_17590_0,CHB_17590,0,910.4384,201_Cp,Cp,1398,CHB_17590,CHB_17590_0
CHB_16716_0,CHB_16716,0,370,202_Cp,Cp,1399,CHB_16716,CHB_16716_0
CHB_15743_0,CHB_15743,0,323.4232,203_Cp,Cp,1400,CHB_15743,CHB_15743_0
CHB_16004_0,CHB_16004,0,279.0728,204_Cp,Cp,1401,CHB_16004,CHB_16004_0
CHB_16004_-1,CHB_16004,-1,111.7128,205_Cp,Cp,1402,CHB_16004,CHB_16004_-1
CHB_16183_0,CHB_16183,0,277.3992,206_Cp,Cp,1403,CHB_16183,CHB_16183_0
CHB_36635_0,CHB_36635,0,434.2992,207_Cp,Cp,1404,CHB_36635,CHB_36635_0
CHB_36635_-1,CHB_36635,-1,274.052,208_Cp,Cp,1405,CHB_36635,CHB_36635_-1
CHB_17578_0,CHB_17578,0,454,209_Cp,Cp,1406,CHB_17578,CHB_17578_0
CHB_17231_0,CHB_17231,0,423.8392,210_Cp,Cp,1407,CHB_17231,CHB_17231_0
CHB_17847_0,CHB_17847,0,384.0912,211_Cp,Cp,1408,CHB_17847,CHB_17847_0
CHB_28054_0,CHB_28054,0,430.1152,212_Cp,Cp,1409,CHB_28054,CHB_28054_0
CHB_17935_0,CHB_17935,0,678.2264,213_Cp,Cp,1410,CHB_17935,CHB_17935_0
CHB_27518_0,CHB_27518,0,221.752,214_Cp,Cp,1411,CHB_27518,CHB_27518_0
CHB_30813_0,CHB_30813,0,877.8032,215_Cp,Cp,1412,CHB_30813,CHB_30813_0
CHB_30813_-1,CHB_30813,-1,732.2,216_Cp,Cp,1413,CHB_30813,CHB_30813_-1
CHB_30776_0,CHB_30776,0,523,217_Cp,Cp,1414,CHB_30776,CHB_30776_0
CHB_30776_-1,CHB_30776,-1,376.56,218_Cp,Cp,1415,CHB_30776,CHB_30776_-1
CHB_29019_0,CHB_29019,0,789.1024,219_Cp,Cp,1416,CHB_29019,CHB_29019_0
CHB_29019_-1,CHB_29019,-1,642.6624,220_Cp,Cp,1417,CHB_29019,CHB_29019_-1
MAN_10204_0,MAN_10204,0,234.97344,221_Cp,Cp,1418,CHB_28816,CHB_28816_0
CHB_16459_0,CHB_16459,0,430.28256,222_Cp,Cp,1419,CHB_16459,CHB_16459_0
